zip,city,county,pop
37013,Antioch,Davidson,99109
37042,Clarksville,Montgomery,80661
37211,Nashville,Davidson,75199
37075,Hendersonville,Sumner,68336
38401,Columbia,Maury,64822
37167,Smyrna,Rutherford,61176
37122,Mount Juliet,Wilson,61002
37129,Murfreesboro,Rutherford,60516
37064,Franklin,Williamson,60272
37128,Murfreesboro,Rutherford,60038
37027,Brentwood,Williamson,57096
37130,Murfreesboro,Rutherford,57068
38017,Collierville,Shelby,55884
37066,Gallatin,Sumner,54377
37421,Chattanooga,Hamilton,53050
37040,Clarksville,Montgomery,52736
38305,Jackson,Madison,52092
37043,Clarksville,Montgomery,49669
37044,Clarksville,Montgomery,49669
37087,Lebanon,Wilson,48478
38128,Memphis,Shelby,46158
38016,Cordova,Shelby,45424
38134,Memphis,Shelby,45184
37918,Knoxville,Knox,45107
38109,Memphis,Shelby,44846
38127,Memphis,Shelby,43240
38111,Memphis,Shelby,42146
37343,Hixson,Hamilton,42120
38116,Memphis,Shelby,42057
37221,Nashville,Davidson,41736
37363,Ooltewah,Hamilton,41503
37920,Knoxville,Knox,40678
38118,Memphis,Shelby,40156
38002,Arlington,Shelby,40070
37660,Kingsport,Sullivan,39638
37115,Madison,Davidson,39573
38125,Memphis,Shelby,39315
37207,Nashville,Davidson,39151
38501,Cookeville,Putnam,39013
38115,Memphis,Shelby,38817
37174,Spring Hill,Maury,38793
37076,Hermitage,Davidson,38647
37209,Nashville,Davidson,37852
37620,Bristol,Sullivan,37760
37922,Knoxville,Knox,37709
38018,Cordova,Shelby,37269
37604,Johnson City,Washington,36203
37601,Johnson City,Washington,35963
37312,Cleveland,Bradley,35877
38301,Jackson,Madison,34534
37086,La Vergne,Rutherford,34362
37814,Morristown,Hamblen,34359
37160,Shelbyville,Bedford,33606
37643,Elizabethton,Carter,33413
37110,Mcminnville,Warren,32731
37876,Sevierville,Sevier,32142
37803,Maryville,Blount,32016
37067,Franklin,Williamson,31681
37923,Knoxville,Knox,31548
37323,Cleveland,Bradley,31202
37072,Goodlettsville,Davidson,31134
37217,Nashville,Davidson,30947
37172,Springfield,Robertson,30261
37214,Nashville,Davidson,30217
38135,Memphis,Shelby,29719
37919,Knoxville,Knox,29637
37830,Oak Ridge,Anderson,29569
37311,Cleveland,Bradley,29139
38506,Cookeville,Putnam,28818
37931,Knoxville,Knox,28440
37379,Soddy Daisy,Hamilton,28115
37849,Powell,Knox,28109
37664,Kingsport,Sullivan,28040
37659,Jonesborough,Washington,27813
37716,Clinton,Anderson,27768
37921,Knoxville,Knox,27522
37055,Dickson,Dickson,27410
37355,Manchester,Coffee,27203
38117,Memphis,Shelby,27162
37934,Farragut,Knox,27152
37801,Maryville,Blount,27102
37206,Nashville,Davidson,27055
37804,Maryville,Blount,27040
38024,Dyersburg,Dyer,26627
38053,Millington,Shelby,25816
37388,Tullahoma,Coffee,25462
37303,Athens,Mcminn,25062
37917,Knoxville,Knox,25048
38583,Sparta,White,24906
38119,Memphis,Shelby,24818
37743,Greeneville,Greene,24791
37148,Portland,Sumner,24747
37865,Seymour,Sevier,24638
38106,Memphis,Shelby,24256
38138,Germantown,Shelby,24143
38122,Memphis,Shelby,23955
38114,Memphis,Shelby,23940
38104,Memphis,Shelby,23812
37138,Old Hickory,Davidson,23789
37415,Chattanooga,Hamilton,23693
37205,Nashville,Davidson,23680
38141,Memphis,Shelby,23443
37334,Fayetteville,Lincoln,23398
37091,Lewisburg,Marshall,23052
37215,Nashville,Davidson,23044
37862,Sevierville,Sevier,22731
38464,Lawrenceburg,Lawrence,22412
38133,Memphis,Shelby,22155
37912,Knoxville,Knox,22154
37615,Johnson City,Washington,22064
37821,Newport,Cocke,21657
37412,Chattanooga,Hamilton,21220
37212,Nashville,Davidson,20672
37857,Rogersville,Hawkins,20429
38555,Crossville,Cumberland,20371
38242,Paris,Henry,20274
37321,Dayton,Rhea,20191
37069,Franklin,Williamson,20093
37914,Knoxville,Knox,19912
37127,Murfreesboro,Rutherford,19817
37932,Knoxville,Knox,19206
37725,Dandridge,Jefferson,18514
37208,Nashville,Davidson,18375
37774,Loudon,Loudon,18340
37745,Greeneville,Greene,18233
37405,Chattanooga,Hamilton,18231
37216,Nashville,Davidson,18081
38351,Lexington,Henderson,18050
37813,Morristown,Hamblen,17946
37015,Ashland City,Cheatham,17835
37771,Lenoir City,Loudon,17730
38478,Pulaski,Giles,17618
37135,Nolensville,Williamson,17318
38108,Memphis,Shelby,17258
37938,Knoxville,Knox,17230
38372,Savannah,Hardin,17192
37766,La Follette,Campbell,17169
37354,Madisonville,Monroe,17029
37210,Nashville,Davidson,16810
37411,Chattanooga,Hamilton,16801
37203,Nashville,Davidson,16772
37748,Harriman,Roane,16745
37909,Knoxville,Knox,16321
38063,Ripley,Lauderdale,16154
38019,Covington,Tipton,16137
38112,Memphis,Shelby,16046
37188,White House,Robertson,16034
38139,Germantown,Shelby,15986
37763,Kingston,Roane,15959
37204,Nashville,Davidson,15908
37179,Thompsons Station,Williamson,15860
37874,Sweetwater,Monroe,15765
37218,Nashville,Davidson,15582
38261,Union City,Obion,15511
37377,Signal Mountain,Hamilton,15496
38120,Memphis,Shelby,15485
38107,Memphis,Shelby,15477
38343,Humboldt,Gibson,15438
37416,Chattanooga,Hamilton,15307
38237,Martin,Weakley,15281
37090,Lebanon,Wilson,15143
37398,Winchester,Franklin,15020
37083,Lafayette,Macon,14847
38103,Memphis,Shelby,14713
37642,Church Hill,Hawkins,14658
37617,Blountville,Sullivan,14596
37073,Greenbrier,Robertson,14569
37166,Smithville,Dekalb,14310
37406,Chattanooga,Hamilton,14259
38571,Crossville,Cumberland,14180
37721,Corryton,Knox,14024
37916,Knoxville,Knox,13711
37663,Kingsport,Sullivan,13672
37618,Bluff City,Sullivan,13592
37760,Jefferson City,Jefferson,13550
37683,Mountain City,Johnson,13496
37772,Lenoir City,Loudon,13106
37062,Fairview,Williamson,12971
37650,Erwin,Unicoi,12960
37777,Louisville,Blount,12763
37854,Rockwood,Roane,12690
38012,Brownsville,Haywood,12658
38340,Henderson,Chester,12379
37924,Knoxville,Knox,12312
37404,Chattanooga,Hamilton,12168
37367,Pikeville,Bledsoe,12045
37341,Harrison,Hamilton,12010
38358,Milan,Gibson,11619
38556,Jamestown,Fentress,11592
37327,Dunlap,Sequatchie,11569
37879,Tazewell,Claiborne,11501
37807,Maynardville,Union,11397
37407,Chattanooga,Hamilton,11126
38572,Crossville,Cumberland,11123
38004,Atoka,Tipton,11094
38068,Somerville,Fayette,10850
38201,Mc Kenzie,Carroll,10755
37186,Westmoreland,Sumner,10597
38320,Camden,Benton,10593
37764,Kodak,Sevier,10448
38060,Oakland,Fayette,10403
38462,Hohenwald,Lewis,10204
37397,Whitwell,Sequatchie,10101
37757,Jacksboro,Campbell,10096
37840,Oliver Springs,Roane,10092
38058,Munford,Tipton,9981
37074,Hartsville,Trousdale,9967
37841,Oneida,Scott,9966
38570,Livingston,Overton,9802
37381,Spring City,Rhea,9574
38558,Crossville,Cumberland,9572
37641,Chuckey,Greene,9491
38011,Brighton,Tipton,9429
37385,Tellico Plains,Monroe,9292
38574,Monterey,Putnam,9093
37861,Rutledge,Grainger,8980
37877,Talbott,Hamblen,8893
38008,Bolivar,Hardeman,8726
37190,Woodbury,Cannon,8611
37037,Christiana,Rutherford,8570
38382,Trenton,Gibson,8559
37871,Strawberry Plains,Jefferson,8524
38474,Mount Pleasant,Maury,8518
37686,Piney Flats,Sullivan,8470
37185,Waverly,Humphreys,8381
37825,New Tazewell,Claiborne,8291
37322,Decatur,Meigs,8270
37347,Jasper,Marion,8135
38375,Selmer,Mcnairy,8088
38059,Newbern,Dyer,7928
38344,Huntingdon,Carroll,7868
37058,Dover,Stewart,7817
37187,White Bluff,Dickson,7745
37820,New Market,Jefferson,7715
37030,Carthage,Smith,7674
37887,Wartburg,Morgan,7651
37033,Centerville,Hickman,7604
37034,Chapel Hill,Marshall,7576
37080,Joelton,Davidson,7537
37701,Alcoa,Blount,7509
37403,Chattanooga,Hamilton,7484
38028,Eads,Shelby,7478
38544,Baxter,Putnam,7450
37146,Pleasant View,Cheatham,7396
37890,White Pine,Jefferson,7208
37029,Burns,Dickson,7166
38355,Medina,Gibson,7041
37101,Mc Ewen,Humphreys,7032
37863,Pigeon Forge,Sevier,6932
37184,Watertown,Wilson,6884
37331,Etowah,Mcminn,6849
37722,Cosby,Cocke,6759
38075,Whiteville,Hardeman,6744
37022,Bethpage,Sumner,6694
38023,Drummonds,Tipton,6683
37330,Estill Springs,Franklin,6639
37419,Chattanooga,Hamilton,6557
38562,Gainesboro,Jackson,6552
37380,South Pittsburg,Marion,6505
37752,Harrogate,Claiborne,6460
37681,Limestone,Washington,6446
37036,Charlotte,Dickson,6437
38485,Waynesboro,Wayne,6384
37742,Greenback,Loudon,6362
37048,Cottontown,Sumner,6229
38310,Adamsville,Mcnairy,6135
37153,Rockvale,Rutherford,6132
37708,Bean Station,Grainger,6078
37737,Friendsville,Blount,6058
37020,Bell Buckle,Bedford,6036
37096,Linden,Perry,5947
38483,Summertown,Lawrence,5933
